upm,nvivi,nhoga,year,fex,facpob,area,ipcm,linea_pobreza_total,linea_pobreza_extrema,hh_totpers,jefe_edad,jefe_aniosestudio,totpov,extpov,lnipcm,perc_tiene_trabajo_remunerado,piezas_por_miembro,vivi_pieza_cocinar_No,vivi_computadora_No,vivi_internet_Yes,vivi_radio_No,vivi_televisor_No,vivi_heladera_No,vivi_cocina_gas_No,vivi_cocina_elec_No,vivi_lavarropas_No,vivi_videoDVD_No,vivi_acondicionador_aire_No,vivi_tv_cable_No,vivi_horno_microondas_Yes,vivi_horno_electrico_No,vivi_auto_camion_No,vivi_motocicleta_No,hh_conyuge_present_No,hh_tekopora_Yes,jefe_female_Yes,jefe_seguro_medico_Yes,jefe_sabe_leer_escribir_No,jefe_quiere_trabajo_Yes,jefe_tipo_empleo1_High,hh_tipo_hogar1_Unipersonal,jefe_idioma1_LowInc,jefe_estado_civil1_Alone,dptorep1_Low,dptorep1_High,vivi_pared1_Low,vivi_agua_proveedor1_High,vivi_combustible1_High,vivi_lote_propiedad1_Other,vivi_piso1_high,vivi_piso1_low,vivi_agua_fuente1_low,vivi_basura1_high,vivi_banho_desague1_low,vivi_vivienda_propiedad1_Other
2643,28,1,2018,473,946,rural,510563.27462492033,488172,239969,0.6931471805599453,62,6,nontot_pov,nonext_pov,13.143269855282085,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
2643,29,1,2018,681,2043,rural,650463.1441617766,488172,239969,1.0986122886681098,36,12,nontot_pov,nonext_pov,13.385439917622865,0.3333333333333333,-1.0986122886681098,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2643,30,1,2018,781,3124,rural,568736.1382909348,488172,239969,1.3862943611198906,31,12,nontot_pov,nonext_pov,13.25117187671457,0.25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2643,32,1,2018,603,1206,rural,2068070.4500978547,488172,239969,0.6931471805599453,27,12,nontot_pov,nonext_pov,14.542126580808658,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
2643,35,1,2018,804,4824,rural,427495.10763209546,488172,239969,1.791759469228055,37,12,tot_pov,nonext_pov,12.965698123158019,0.16666666666666666,-1.0986122886681098,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
2643,36,1,2018,929,3716,rural,272491.4187866937,488172,239969,1.3862943611198906,23,9,tot_pov,nonext_pov,12.515362401898562,0.25,-1.3862943611198906,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0
2643,37,1,2018,603,1206,rural,872592.9549902184,488172,239969,0.6931471805599453,26,12,nontot_pov,nonext_pov,13.679224466054615,0.5,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
2643,38,1,2018,646,2584,rural,322030.55772994243,488172,239969,1.3862943611198906,51,4,tot_pov,nonext_pov,12.682401719806276,0.5,-1.3862943611198906,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
2643,40,1,2018,591,1182,rural,1158564.0508806305,488172,239969,0.6931471805599453,30,10,nontot_pov,nonext_pov,13.962691909095467,0.5,-0.6931471805599453,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
2732,1,1,2018,409,2045,rural,451755.87410306744,488172,239969,1.6094379124341003,65,3,tot_pov,nonext_pov,13.020897211365105,0.6,-0.2231435513142097,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2732,2,1,2018,593,3558,rural,342207.59839095577,488172,239969,1.791759469228055,35,6,tot_pov,nonext_pov,12.743172844726022,0.16666666666666666,-1.0986122886681098,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
2732,3,1,2018,453,1359,rural,543292.0765383799,488172,239969,1.0986122886681098,61,5,nontot_pov,nonext_pov,13.20540234848035,0.6666666666666666,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2732,4,1,2018,404,808,rural,452641.8786692776,488172,239969,0.6931471805599453,76,1,tot_pov,nonext_pov,13.022856536997967,0.5,0.6931471805599453,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
2732,5,1,2018,481,3367,rural,678765.2362314813,488172,239969,1.9459101490553132,61,4,nontot_pov,nonext_pov,13.42803059746487,0.14285714285714285,-0.5596157879354228,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2732,6,1,2018,655,1965,rural,410185.7469015019,488172,239969,1.0986122886681098,63,6,tot_pov,nonext_pov,12.924365377311476,0,-0.40546510810816444,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2732,26,1,2018,450,1800,rural,460337.798434444,488172,239969,1.3862943611198906,61,0,tot_pov,nonext_pov,13.039715843389045,0.25,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2732,27,1,2018,370,740,rural,573530.7893020242,488172,239969,0.6931471805599453,62,3,nontot_pov,nonext_pov,13.25956690077487,0.5,0.4054651081081644,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2732,28,1,2018,370,740,rural,581309.5238095259,488172,239969,0.6931471805599453,64,4,nontot_pov,nonext_pov,13.273038637194533,0.5,0.6931471805599453,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
